Oinwe	Ve.
jaki shirokinra kenyoman betoshba akanti iki jainxonra rishkikanti iki jaskaáxonra retenoxikanai ikaxbi jawen kimisha nete itinra jirinoxiki akin santiago betan juanman jesús yokata	que se burlarán de él le escupirán lo azotarán y lo matarán pero tres días después resucitará santiago y juan piden los primeros puestos
abel kaínman retea toanra diossen ea wetsa benbo bake menike iki	dios me ha concedido otro hijo en lugar de abel que fue matado por caín
jatian ja icha jawékia joni ja mawatax boax jain onitsapikanainko kaa iki jain ixonra ochóxonbi ja abraham oinna iki itan já patax lazaro yakataribi oinna iki	estando en el infierno en medio de los tormentos el rico levantó los ojos y vio a lo lejos a abraham y a lázaro con él en su regazo
jatian wanoya joninra jawen awin betanbicho ati jawéki senenhati jake jatian jawen awininra jaskáribiati jake	el marido cumpla con sus deberes de esposo y lo mismo la esposa
jabaonbira mato yoiti iki ja maton ea jaskáakin yoiara jakonma iki ixon	ellos juzgarán lo que ustedes acaban de decir
matonki onanyamaa ja non jawékiakabo non poko meran boax moa ori jokonai	no comprenden que todo lo que entra por la boca va al estómago y después termina en el basural
diossen wetsaakin shinanxon jawen siná shinan tantimatitian riki jaskáketianra moa noa mawátima iki akin	quién sabe si dios se arrepentirá y cesará su enojo de manera que no nos haga morir
rabí shinanhoma itan noibamisbo ikanwe manátia itaanan noiananax jaton ikábo wetsabo tenexonreskanwe	sean humildes y amables sean comprensivos y sopórtense unos a otros con amor
jaskatibora yoyo ikana iki moabi ja efesoainoa trófimo betan jeman oinpachokanai ikax ja dios rabiti xobo meran pablon jikimaa shinannax	decían esto porque poco antes habían visto a pablo en la ciudad acompañado de trófimo natural de efeso y pensaron que pablo lo había llevado al templo
jatian já kaaitian bochiki nai oinni iikanainbi rabé joni joxoshaman chopa saweya jatoki pikota iki	ellos seguían mirando fijamente al cielo mientras se alejaba pero de repente vieron a su lado a dos hombres vestidos de blanco
jatianra booz moa pixón xeax raroshaman iká iki japekáora ja berobo pataxbi oxai rakata iki jatian shokores itaananra rut já ikainko netéshamanax nokóxon jan tapota rakoti tabítaanan jain oxai rakata iki	booz después de una cena bien regada se fue a acostar muy alegre junto a la parva ella por su parte caminando despacito destapó sus pies y se acostó
kakinra ja makedonia main iká jeman joi akaibo en oinbainti jake jatian makedoniainoaxa ea matoiba nokóti jake	estaré con ustedes después de atravesar macedonia pues pienso ir por macedonia
chosko oxeparira maxkáke nato trigo bimi non tsekati iki	dentro de cuatro meses será tiempo de cosechar
jatian jakob jainoax tekíkaini bari pikotaiori iká jonibaon maiori kaa iki	jacob siguiendo su viaje llegó a la tierra de oriente
diossen joira mii ochóma iki min kexá betan min jointiainra itinke iki	muy cerca de ti está la palabra ya está en tus labios y en tu corazón
abánon ibon ja ainboki mia icha bakeamakin jatianra ikonbires rarebaon kaia mia iti iki ja tamar betan judakan bake faresnin aní keskáakin akin aká iki	que gracias a la descendencia que yavé te concederá de esta joven tu casa sea tan célebre como la de peres el hijo que judá tuvo de tamar obed fue padre de jesé y jesé padre de david
jawekimein en ramatian jonibo yointi iki	con quién puedo comparar a la gente de hoy
jaskáa pekáo moa jatíbi jato josekan xobonko ioa iki jain moa jato ioxon jan tachokiikanti onpax jato menia iki jainxon jaton yoinaboribi jato pimaxona iki	el hombre los hizo entrar en la casa de josé y les dio agua para que se lavaran los pies y mandó dar forraje a sus burros
jaskara jonibo riki ishtonbires sinataibo jaton jakonma rabinti akaibo iki ja aniparo bechonman bakox potaa keská onantibires jabora joékaini paketai wishtin keskabo ikax moa jatíbitian masábires tenetiain kikin yamé meran katiresbo ikanai	olas embravecidas del mar que arrojan la espuma de sus vicios estrellas errantes a las que esperan las tinieblas eternas
yoshiman iboaka jonira jawetianbi jaskatibo yoyo iamai	un endemoniado no habla de esa manera
ja betania jemara iká iki jerusalén ochóma kimisha kilómetrobira	betania está a unos tres kilómetros de jerusalén
shinankanwe ja lotkan awin iní	acuérdense de la mujer de lot
ainbó miara eki ikoni koshike min ea yokata jawékira en mia axonai akin	mujer qué grande es tu fe que se cumpla tu deseo
akin jainxon ayantankanainkoribi diossenbi koshi imaxon jato xabáati raanribia ja zarza tiritainkoniax jaki ángel pikota meranxon	dios lo envió como jefe y libertador con la asistencia del ángel que se le apareció en la zarza
ja jeman iká iki westíora joni icha jawékia jawen jane zakeo ja iká iki ja romamea apo kopí yokáxonaibaon joni koshi	había allí un hombre llamado zaqueo que era jefe de los cobradores del impuesto y muy rico
eara kikini keena iki mawatamatianbi nato paskuatian mato betanshaman jawékiatinin	yo tenía gran deseo de comer esta pascua con ustedes antes de padecer
jaskáyamakinra jatonbi yoikanai ja matoiba nokóketian maton noa jakonhaxon biabo jainxon jaskáaxonra ja ikon itan jiria diosbichores ikonhataanan jawen teebo axónnoxon ja jatonbi dios akanabo rabikin maton jenea	todos hablan del impacto de nuestra visita y de cómo se pasaron de los ídolos a dios pues empezaron a servir al dios vivo y verdadero
jato ochómaribi iká iki icha kochi pii tsamata	a cierta distancia de allí había una gran piara de cerdos comiendo
jatian jatíribibaon shinankana iki judas ja koríki koirannai iketian fiestatian atibo maroti yoikinra jesussen abirake ixon iamax jawékiomashokobo jawéki meniti yoikinra abirake ixonribi	como judas tenía la bolsa común algunos creyeron que jesús quería decirle compra lo que nos hace falta para la fiesta o bien da algo a los pobres
rama jatíbi nato netemea jawékibo jamaa dios bebonxon itan ja ponkio pilato bebonmeax jakoni yoyo ini jesukristo bebonxonra en mia yoiai	ahora te doy una orden en presencia del dios que da vida al universo entero y de cristo jesús que dio su magnífico testimonio ante poncio pilato
jatianpari já oinxon onankana iki ikaxbi moa manóresa iki	en ese momento se les abrieron los ojos y lo reconocieron pero él desapareció
jainxon simón pedron oinnatonres yoia iki tsoa yoiimeinki ixon yokáti	y simón pedro le hizo señas para que le preguntara de quién hablaba
ja senenhakanti esé neskati iká teneti atipanyamaxon	de este modo acataron aquella orden de no acercarse
nokon wetsabo jan kishpinti jakon joi en mato yoiantanabo jakiribi maton shinantininra ea keenai ja joira maton ikonhaa iki jaskatira mato jaki koshii jenéyamai	quiero recordarles hermanos la buena nueva que les anuncié ustedes la recibieron y perseveran en ella
mai mananhon en nai koin tsinkímaketian jain nokon koshki pikotara maton oinnoxiki	cuando yo cubra de nubes la tierra y aparezca el arco en las nubes
ea teayamawe jesús ani diossen baké enra mia yokatai ea ramiayamawe iki	qué quieres conmigo jesús hijo del dios altísimo te lo ruego no me atormentes
ikaxbi jabora kikin jakon mainko jatín keenkana iki onantiakin yoia ja nai neten jaai bokantinin keeni jaskara kopíra jaton dios riki ea iki itin rabinyamaa iki moa jain jakanti jema jato benxoaxona ikax	pero no aspiraban a una patria mejor es decir a la del cielo por eso dios no se avergüenza de ellos ni de llamarse su dios pues él les preparó la ciudad
ikaxbi enra jawetianbi jaskarabo biama iki jaskáakinra maton jawékibo meninon ixonribi en neskarabo mato wishaxonyamai	pero yo no he hecho uso de tales derechos ni tampoco les escribo ahora para reclamarles nada
ja senenhati joi noa diossen yoiai riki jawen bake jesukristo non ikonhati itan jan yoini keskatishaman noa wetsabo betan noiananti	y cuál es su mandato que creamos en el nombre de su hijo jesucristo y nos amemos unos a otros tal como él nos lo ordenó
jaskara kopíra ja jakonhira jawékibo diossen oinmaa jaskaraton rabínaketian isinax ea onitsapita iki jaskatira satanássen jawen yonoti raanxon ea jakonmaaka keská ikax westíora moxan nokon yora chachia keskáribi ea iká iki	y precisamente para que no me pusiera orgulloso después de tan extraordinarias revelaciones me fue clavado en la carne un aguijón verdadero delegado de satanás cuyas bofetadas me guardan de todo orgullo
enra jawekeska jakonma jawékibo akáma iki judíobaon eséribira en jakonmaama iki ja dios rabiti xoboribira en ramiama iki jainxon ja icha mai iboaa romamea aporibira en jakonmaakama iki akin	yo no he cometido ninguna falta contra la ley de los judíos ni contra el templo ni contra el césar
jainoa judíobora ja tesalónikainoa judíobo bebonbires jakon shinanyabo ikana iki	estos eran mejores que los de tesalónica y recibieron el mensaje con mucha disponibilidad
ikaxbi rawíayamakanwe ja mato betan joi akai ikenkaya jakonhaxonres esekanwe senentiainbi jato saludana	pero no lo consideren como enemigo sino corríjanlo como a hermano
jaweratoboki jato xewina iti shinanyabo iki jabora jaton yonoti iti jake	y si alguno de ustedes quiere ser el primero entre ustedes que se haga el esclavo de todos
matonki onanyamaa iká iki kristo naikan kaamatianbipari neskati onitsapitibo	no tenía que ser así y que el mesías padeciera para entrar en su gloria
jatian noa jatikaxbi ja xobo bochiki iká chiteain moa tsinkíkana iká iki jainra icha lamparinbo ketéakana iká iki	había bastantes lámparas encendidas en la pieza del piso superior donde estábamos reunidos
jatian nokotax jain nokókana xobo bochiki mapekana iki	entraron en la ciudad y subieron a la habitación superior de la casa donde se alojaban
jaskataxa jatíbi moisés betanbi ikana iki ja nai koinman itan ja paro jenen bautizanmeeta keskábo ikax	todos recibieron ese bautismo de la nube y del mar para que así fueran el pueblo de moisés
jaskara ointaanan kininko jikixon oinkanabi moa ibo jesussen yora yama iká iki	y al entrar no encontraron el cuerpo del señor jesús
ja yoshinbaon koshin atipana koshi menia ixonra akai jan yoshinbo jokonhakin iki ixonres	este echa a los demonios con la ayuda del príncipe de los demonios
nokon keen wetsabó noara jatíbibo betan noiananax jakanti jake diossibakeax noimisti shinan joái kopí	queridos míos amémonos unos a otros porque el amor viene de dios
ea keenai riki neskáakin en mato akinnaitian diossen paranan ikin jabaonribi ikonhaax jatíribi nokon kaibobo kishpinmeekantin	es porque quiero despertar los celos de mi raza y así salvar a algunos de ellos
jaskara iketian jatíbitianbires kristo kopí ja jabicho itan jatíbi onan shinan ibo dios rabinon akanwe jaskarara iti jake	a dios el único sabio por medio de cristo jesús a él sea la gloria por siempre amén
jonin jabé joni reteketianra wetsa jonin jaribi reteti iki jonibora diossen ja keskábiakin joniaa iki	quien derrame sangre del hombre su sangre será también derramada por el hombre porque dios creó al hombre a imagen suya
egiptora ras ati iki jatian edomra tsoa jonibi jain jaama iti iki yankabiresa judá jonibo maton jakonma aká iki jainoaxa jakonma akáma ikenbi jaton mainmeabi maton jato retea jimi chikota iki	egipto quedará todo en ruinas y edom en un desierto desolado por la violencia que cometieron contra los hijos de judá porque derramaron sangre inocente en su tierra
ja netebaonra augusto iká iki ja icha mai iboaa romamea apo imakana jaskara ixon jatíbi jonibo jaton jane wishakaanon ixon jatíbiain jato ninkámati joi raana iki	por aquellos días salió un decreto del emperador augusto por el que se debía proceder a un censo en todo el imperio
matonra akai ea masá tenemakaskin ja mawatax jiriribikanti joi en ikonhai kopí iki ixon akin aká iki	yo soy juzgado hoy por ustedes a causa de la resurrección de los muertos
nokon wetsabo ja non ibo jesukriston jawen jakon shinanman mato akinbanon	hermanos que la gracia de cristo jesús nuestro señor esté con su espíritu
jakon jawékibores atin keenkinbira en ayamai jatian ja ea akáshamai jakonma jawékiboreskaya en akai	de hecho no hago el bien que quiero sino el mal que no quiero
jatian iká iki moa paskua iti ochóma ja judíobaon fiesta jaskara iketian jaonmea onannaiboyabi jerusalénhain jesús kaa iki	se acercaba la pascua de los judíos y jesús subió a jerusalén
jatian jaskáakana moa jaskáaxon jato jesús yatanmati judassen benaa iki	y a partir de ese momento judas andaba buscando una oportunidad para entregárselo
neskara ninkáxonra en mato yoiai nokon wetsabo	personas de la casa de cloe me han hablado de que hay rivalidades entre ustedes
rama noa winota jawékininra noa onsá meran imai apoki jakonmaataibo riki akinra noa akánake	han pensado ustedes que podríamos ser acusados de rebelión por lo ocurrido hoy no tendríamos excusa alguna para justificar este tumulto
nonara jake westíora esé ja esé meran jaskáakin yoiaitianra ja joni mawáti jake eara diossen bake iki ikai kopí akin	nosotros tenemos una ley y según esa ley debe morir pues se ha proclamado hijo de dios
ja jesússa judíobaon jiwi korosen panihannan retea iki	al final lo mataron colgándolo de un madero
jaweraki yoitikayaki atibires itiki min ochabora en mia shinanxonyamai akin ati iamax wenitax katanwe akin ati	qué es más fácil decir quedan perdonados tus pecados o levántate y anda
ikaxbi bereainxon pablon diossen joi jato yoiribiai ninkataxa tesalónikainoa judíobo jain bokana iki boxonra jain ikana jonibo meskóakinbo yoixon jaton shinanbo tsokásmaribakana iki	pero cuando los judíos de tesalónica se enteraron de que pablo estaba predicando la palabra de dios en berea fueron también allí para agitar al pueblo y crear disturbios
jainoaxa ja tsinkíti xobo meranoax pikókaini kaax simonman xobon jesús jikia iki jain iká iki simonman rayos ainbo kikin yoná koshi aká rakata jatianra ja benxoanon ixon jesús yoikana iki	al salir jesús de la sinagoga fue a casa de simón la suegra de simón estaba con fiebre muy alta y le rogaron por ella
